cbg,populationE,med_ageE,bachelor_degree_25E,med_hh_incomeE,whiteE,blackE,asianE,hispanicE,geometry
360050245023,1886,28.9,0.042417815482502653,30500.0,0.15429480381760338,0.2391304347826087,0.0,0.8738069989395546,"POLYGON ((-73.915421 40.854175, -73.91493799999999 40.855700999999996, -73.91412199999999 40.85554, -73.912761 40.855250999999996, -73.913848 40.853811, -73.914675 40.853943, -73.91505 40.854029, -73.915421 40.854175))"
360050247002,1318,35.4,0.08042488619119878,44524.0,0.04552352048558422,0.5235204855842185,0.004552352048558422,0.5022761760242792,"POLYGON ((-73.921215 40.854693, -73.920958 40.855112, -73.920273 40.856234, -73.920005 40.856679, -73.91929 40.857475, -73.917901 40.856936999999995, -73.917592 40.856812, -73.917425 40.856774, -73.917456 40.856316, -73.91736399999999 40.856094999999996, -73.917217 40.856015, -73.916797 40.855664999999995, -73.91678999999999 40.854873, -73.916935 40.854608999999996, -73.918167 40.852982999999995, -73.918615 40.852844, -73.919079 40.853071, -73.919595 40.853339, -73.919702 40.853407999999995, -73.91982 40.853486, -73.920148 40.853681, -73.9204 40.853817, -73.92113599999999 40.854214999999996, -73.921215 40.854693))"
360050253004,1222,26.6,0.044189852700491,36250.0,0.09410801963993454,0.036824877250409165,0.0,0.9451718494271686,"POLYGON ((-73.907071 40.859362, -73.904038 40.862741, -73.903319 40.862735, -73.904366 40.861218, -73.904934 40.860289, -73.90570799999999 40.860566999999996, -73.906252 40.859963, -73.906435 40.859764999999996, -73.906798 40.859373999999995, -73.907071 40.859362))"
360050263005,1941,63.8,0.1566202988150438,12351.0,0.3111798042246265,0.22050489438433796,0.0,0.45904173106646057,"POLYGON ((-73.90439099999999 40.865905, -73.90235799999999 40.868696, -73.901645 40.868415999999996, -73.90114 40.86828, -73.902074 40.866997, -73.903322 40.865311, -73.904105 40.865745, -73.90439099999999 40.865905))"
360050265004,1191,28.2,0.07304785894206549,38099.0,0.028547439126784216,0.22334172963895885,0.07388748950461797,0.7489504617968094,"POLYGON ((-73.901945 40.864553, -73.90058599999999 40.866341999999996, -73.899801 40.865998, -73.898873 40.865584, -73.89960599999999 40.864646, -73.90027599999999 40.863788, -73.90118199999999 40.864183, -73.901945 40.864553))"
360050266025,755,38.0,0.2,69306.0,0.7748344370860927,0.04370860927152318,0.06622516556291391,0.3629139072847682,"POLYGON ((-73.83042999999999 40.849163999999995, -73.829585 40.84943, -73.82885499999999 40.849689999999995, -73.827997 40.848624, -73.828846 40.848295, -73.82772899999999 40.846587, -73.82857 40.846269, -73.829686 40.847978, -73.83042999999999 40.849163999999995))"
360050267011,1668,37.1,0.21942446043165467,73313.0,0.04016786570743405,0.09112709832134293,0.2775779376498801,0.6330935251798561,"POLYGON ((-73.902127 40.869409, -73.902062 40.869614, -73.901727 40.86999, -73.90159799999999 40.870183999999995, -73.901523 40.870393, -73.900606 40.870233, -73.899686 40.870041, -73.900409 40.869118, -73.90114 40.86828, -73.901645 40.868415999999996, -73.90235799999999 40.868696, -73.902127 40.869409))"
360050213023,986,35.6,0.02434077079107505,34575.0,0.11156186612576065,0.3691683569979716,0.0,0.6267748478701826,"POLYGON ((-73.922422 40.841837, -73.920987 40.844065, -73.920035 40.843661, -73.920913 40.842434, -73.921945 40.841045, -73.922422 40.841837))"
360050216023,2359,37.7,0.19838914794404408,56593.0,0.26663840610428147,0.45739720220432384,0.15006358626536667,0.39423484527342095,"POLYGON ((-73.863312 40.840227999999996, -73.863146 40.840277, -73.862674 40.840409, -73.862437 40.840174, -73.862297 40.840053, -73.86174799999999 40.839577, -73.86130899999999 40.839223, -73.86094 40.838926, -73.86068999999999 40.83851, -73.860535 40.838133, -73.86045399999999 40.838068, -73.86029599999999 40.837959, -73.860119 40.837854, -73.859966 40.837779, -73.860072 40.837741, -73.860199 40.837680999999996, -73.860325 40.837604, -73.86043599999999 40.837516, -73.860525 40.837424, -73.86112299999999 40.837596999999995, -73.861228 40.837641, -73.861319 40.837663, -73.86142699999999 40.837675, -73.861539 40.837672, -73.86166 40.837649, -73.861736 40.837742999999996, -73.861736 40.837876, -73.861783 40.838015999999996, -73.861896 40.838114999999995, -73.862042 40.838169, -73.862229 40.838201999999995, -73.862375 40.838229, -73.862528 40.838209, -73.862695 40.838142, -73.862828 40.838029, -73.862875 40.837956, -73.862921 40.837928, -73.86307 40.838367999999996, -73.863303 40.839711, -73.863254 40.839884999999995, -73.863259 40.840064, -73.863312 40.840227999999996))"
360050216021,335,26.7,0.2417910447761194,86375.0,0.591044776119403,0.3253731343283582,0.0,0.6746268656716418,"POLYGON ((-73.864465 40.841088, -73.86358 40.841277999999996, -73.86309 40.840824, -73.862674 40.840409, -73.863146 40.840277, -73.863312 40.840227999999996, -73.863259 40.840064, -73.863254 40.839884999999995, -73.863303 40.839711, -73.86307 40.838367999999996, -73.862921 40.837928, -73.86355499999999 40.837865, -73.863575 40.837979, -73.863929 40.839996, -73.86393799999999 40.840044999999996, -73.86406199999999 40.840291, -73.864465 40.841088))"
