cbg,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store,treated,time,did
360050028003,8.651911489951361,7.334329934684769,4.59093942906519,9.80049792177168,4.49911958236636,11.627300061194694,0,0,0
360050042001,8.281906022927275,13.172118654869916,1.7117862723773896,4.665129510154035,1.3094872055996447,14.920357613804228,0,0,0
360050042005,5.0625976229751615,4.224945233016728,2.446333625124316,7.641530208899567,1.837950973077287,11.456129922338896,0,0,0
360050074003,2.3053546682149575,14.981702708750133,4.767683611291409,3.9130475395821382,1.1966447860771012,11.336143751364506,0,0,0
360050144001,1.2994458079399318,4.354025996077096,2.881407637826294,6.15526874474479,6.571606142306482,3.8911392229753297,0,0,0
360050210011,12.652397531958895,11.294740253928447,1.246917983331568,12.375819682121346,1.5213597716741134,14.324082745741705,0,0,0
360050238001,6.72712226756547,2.2753616172537567,3.452985841588621,4.15066023218876,7.15927036563883,14.494901030693535,0,0,0
360050248001,1.3516169407608558,3.36132446802308,4.107957461565189,12.049620453709345,9.093024347472618,6.318228688654124,0,0,0
360050263005,5.295039327029301,3.0682823905366132,4.507922386375142,8.920067763480636,5.753919631616451,7.675607287653325,0,0,0
360050274012,2.9516481086231585,4.846591297953471,2.7538196024123476,6.8389957253920945,3.744068562664637,6.628440325925105,0,0,0
360050274021,2.2953578610272594,2.6672949861991238,7.100581775854593,10.80076191411431,10.29347617664364,10.224738442912376,0,0,0
360050279002,2.2879682991425945,11.423844081170056,5.984755532586532,1.7772787297126866,12.014484653109509,13.202435675276474,0,0,0
360050281001,4.860712729364162,12.8052357830032,1.5536808834046454,3.125093295214313,3.990165617689833,8.486144550210327,0,0,0
360050285002,7.446013932726707,12.559332900780813,7.3901297815777305,13.634810225905504,11.028653068392293,13.091808784508167,0,0,0
360050289003,9.102283149221517,1.483625115062793,2.251725104699446,11.280617144293391,13.921759265827301,7.167416102335626,0,0,0
360050293011,3.1250627206783825,3.366271849909509,2.511317664463298,8.831227116935604,7.796081851376876,9.504469678582453,0,0,0
360050293012,1.0009079567198018,5.9062516031990295,2.464535429688224,6.325264194277629,9.419767006688181,11.605826729203153,0,0,0
360050293021,1.4586039234691694,5.5907117295183095,7.969899591359851,4.34791623971477,10.812568011658591,11.526089559981832,0,0,0
360050293024,12.740306760361502,1.035456704786735,6.651555504014097,9.749951781352946,3.1399658154620558,13.327619151905978,0,0,0
360050301001,7.213862378368677,3.0548566833374906,1.866285454420064,14.428928401484484,9.562051820539605,11.574978427962664,0,0,0
360050301002,1.8842509212353011,3.5406169744040037,3.3042146186868173,1.4451860774794625,1.273185077059006,9.79146554567655,0,0,0
