cbg,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store,treated,time,did,CL
360050002001,2.1775124799149665,13.96988923217104,9.146281431410717,1.2590728094682504,1.6614785122462972,14.523435349521096,0,0,0,2.0
360050002001,5.045097669453909,4.523466210103038,6.364267470096972,3.0047151116767687,7.331832576919987,14.641059288249474,0,1,0,2.0
360050002001,5.045097669453909,4.523466210103038,6.364267470096972,3.0047151116767687,7.331832576919987,14.641059288249474,1,0,0,2.0
360050002001,1.1794135775793295,3.153535570538022,4.982447006176093,11.869306666225805,12.5344676571155,14.738859409344311,1,1,1,2.0
360050002002,3.303459462348385,2.067014544539239,1.820834352747969,6.423900527193366,8.306310254841584,11.840415278164434,0,0,0,2.0
360050002002,1.8147958489569191,4.408771101125527,6.245504089199076,4.037884896143414,5.508796731175032,13.796735999280415,0,1,0,2.0
360050002002,1.8147958489569191,4.408771101125527,6.245504089199076,4.037884896143414,5.508796731175032,13.796735999280415,1,0,0,2.0
360050002002,1.1004037775488145,8.116120915998133,1.1820954840862872,11.07021715203524,7.962478469077087,9.445714914970669,1,1,1,2.0
360050002003,1.679477873916003,3.1933733280207077,5.936392888134508,3.4798931948927176,11.36725058728596,14.539556603405273,0,0,0,2.0
360050002003,3.5473913945955715,3.409932545103466,2.4359841492872043,5.306897854984655,10.254071138501377,14.539924432879783,0,1,0,2.0
360050002003,3.5473913945955715,3.409932545103466,2.4359841492872043,5.306897854984655,10.254071138501377,14.539924432879783,1,0,0,2.0
360050002003,1.277748030919474,4.474462501542048,1.255735115859731,9.187869724657752,9.536290094043064,8.838643105036084,1,1,1,2.0
360050004002,7.309270308709349,11.44988122594959,3.8598157513707347,7.064727419528454,1.1945869496016455,14.872644394233632,0,0,0,2.0
360050004002,3.497043583139731,5.527430098162652,3.011871303636023,5.398118075245694,1.0595458303253493,12.73297063631502,0,1,0,2.0
360050004002,3.497043583139731,5.527430098162652,3.011871303636023,5.398118075245694,1.0595458303253493,12.73297063631502,1,0,0,2.0
360050004002,2.279178786828332,5.766671495025212,1.1333716205441924,8.406695587405698,4.08244019220812,10.667649287214946,1,1,1,2.0
360050004003,2.923195684684547,8.60537624189392,4.8310369395577935,3.099899295260421,10.203539333337709,12.458089638087326,0,0,0,2.0
360050004003,6.40412043862294,13.119854373802799,1.683235750647974,3.435353586156443,10.890489860111302,13.629817524684595,0,1,0,2.0
360050004003,6.40412043862294,13.119854373802799,1.683235750647974,3.435353586156443,10.890489860111302,13.629817524684595,1,0,0,2.0
360050004003,3.1144928942108385,6.895245720033058,1.1307009842000835,9.252261530583194,12.718920849493694,1.0567614478534375,1,1,1,2.0
360050004004,4.615519802614183,11.848821967587298,5.862176962021598,5.732947777852273,1.112977844911439,14.062871116015913,0,0,0,2.0
360050004004,2.477709975414909,4.282294013336887,1.6988801169328305,2.702084119703116,1.8082060792410743,7.581503524587227,0,1,0,2.0
360050004004,2.477709975414909,4.282294013336887,1.6988801169328305,2.702084119703116,1.8082060792410743,7.581503524587227,1,0,0,2.0
360050004004,2.2983451071710492,7.886668764473143,14.388217138779043,9.247304650053113,8.30269236644277,4.0013719216083246,1,1,1,2.0
360050016001,6.2158193857311215,5.925517886816793,1.8279275195557358,1.6866148933045668,2.132984197761255,11.65904064978618,0,0,0,2.0
360050016001,2.7385913636180934,9.930059197153524,1.10178109752425,8.178060280209044,1.491235458277325,14.17386045431426,0,1,0,2.0
360050016001,2.7385913636180934,9.930059197153524,1.10178109752425,8.178060280209044,1.491235458277325,14.17386045431426,1,0,0,2.0
360050016001,13.461000366779444,5.467887492938331,2.0059459232059758,9.616508960421394,4.976185587909915,1.9935365424169367,1,1,1,2.0
360050016002,1.5309993929507657,11.163516210205131,10.805507443447809,4.7715309450302525,7.7275240415823205,14.693177174247815,0,0,0,2.0
360050016002,7.665091890116598,10.78367014270113,4.417029633160949,1.8523902926262301,10.444059193327892,14.658674185539668,0,1,0,2.0
360050016002,7.665091890116598,10.78367014270113,4.417029633160949,1.8523902926262301,10.444059193327892,14.658674185539668,1,0,0,2.0
360050016002,1.5520868326349273,3.4166529302466344,3.326516201730499,13.555507892260517,12.025385664632118,12.440279795598478,1,1,1,2.0
360050016004,6.325098261555361,5.639196624302563,1.2451713392786714,3.808356731744608,1.9725767864605945,12.501557579214396,0,0,0,2.0
360050016004,3.11308670053581,9.245860661542299,1.35060410954528,1.685901613785381,10.836957883164818,9.070456026604168,0,1,0,2.0
360050016004,3.11308670053581,9.245860661542299,1.35060410954528,1.685901613785381,10.836957883164818,9.070456026604168,1,0,0,2.0
360050016004,7.066503966060793,4.768175316870775,1.2242549471062758,3.5110996068085463,9.200675147627791,13.25241544079616,1,1,1,2.0
360050019001,3.947572051994751,10.1120787687335,5.1469266010959,3.0369387370589394,2.3807162437753817,6.89920740954288,0,0,0,2.0
360050019001,4.1223795506614636,11.475810771017503,6.443455704841826,2.6969143431330664,2.674240349150575,8.337840962902801,0,1,0,2.0
360050019001,4.1223795506614636,11.475810771017503,6.443455704841826,2.6969143431330664,2.674240349150575,8.337840962902801,1,0,0,2.0
360050019001,6.6519965405283585,13.608637744881527,5.01857831010313,12.940688890666177,8.050429892318183,4.110703159459653,1,1,1,2.0
360050019003,6.739097648669288,9.329653486514387,1.516180472569747,1.2921571506962497,6.222782152396445,3.734619486176924,0,0,0,2.0
360050019003,5.969094147068795,12.784109178476573,4.270658120715709,13.423009466862217,10.508790643163938,7.0040374695614895,0,1,0,2.0
360050019003,5.969094147068795,12.784109178476573,4.270658120715709,13.423009466862217,10.508790643163938,7.0040374695614895,1,0,0,2.0
360050019003,4.758490042148203,6.766838784510863,3.251057264735019,13.142927780318551,10.091927778407332,9.019417376810738,1,1,1,2.0
360050020001,2.616445336138275,3.6543547851796534,4.443722049081078,1.5595293071928662,8.797503742495806,12.416751025987693,0,0,0,2.0
360050020001,7.312154211346034,12.761178704415014,1.0661420519784457,11.795708234554986,2.0649402693597207,12.737272445884852,0,1,0,2.0
360050020001,7.312154211346034,12.761178704415014,1.0661420519784457,11.795708234554986,2.0649402693597207,12.737272445884852,1,0,0,2.0
360050020001,8.363602853126187,3.993301365877482,1.3869065916662013,14.919870409748459,9.759947178348156,13.172053939519145,1,1,1,2.0
360050020002,1.540418745863483,4.627497600063702,2.388532527974354,7.657941742936837,14.930866350707426,11.886802160706843,0,0,0,2.0
