cbg,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store,treated,time,did,CL
360050118001,2.633360077096647,3.9977364242138407,9.217343549322964,10.725876357418123,11.31092915539114,11.894993138130868,0,0,0,1.0
360050118001,1.821351732290701,3.1363374479301633,3.4323220845568594,1.045027111242934,9.011333106330873,14.202657658040788,0,1,0,1.0
360050118001,1.821351732290701,3.1363374479301633,3.4323220845568594,1.045027111242934,9.011333106330873,14.202657658040788,1,0,0,1.0
360050118001,3.4704135900155335,11.16701262037128,4.6031145411378205,7.231770352575886,14.822130564717614,1.1164734481745209,1,1,1,1.0
360050118002,1.9314464766672614,2.1974745725294387,4.479480154262622,3.33591993146547,13.762345240910161,10.675877002706855,0,0,0,1.0
360050118002,1.2533165085725901,2.1603477324577858,5.421595206165184,4.5296386962411965,10.77117464271548,12.690498336579815,0,1,0,1.0
360050118002,1.2533165085725901,2.1603477324577858,5.421595206165184,4.5296386962411965,10.77117464271548,12.690498336579815,1,0,0,1.0
360050118002,1.4738456655336059,5.259157980713184,2.5040368572842837,7.8621265413255585,6.732066082694267,12.988363089082291,1,1,1,1.0
360050118003,2.2086928975919378,6.975614831444219,2.7265067256659314,13.052335831912432,10.161046317477004,14.790117585041111,0,0,0,1.0
360050118003,1.7718294770949952,2.8408884320957712,4.2184459288462035,4.080642281668578,8.042510738057988,14.453042521198066,0,1,0,1.0
360050118003,1.7718294770949952,2.8408884320957712,4.2184459288462035,4.080642281668578,8.042510738057988,14.453042521198066,1,0,0,1.0
360050118003,4.2761418943386005,4.428864494046198,1.5065481461693169,7.222517094169262,10.369730181562524,12.455903393798744,1,1,1,1.0
360050130001,1.4050890375208809,9.312579521870573,2.2021438224524736,5.66383357191774,2.1527115463758406,8.675219661347402,0,0,0,1.0
360050130001,3.1126507532481966,3.5384464017878074,4.25096090080579,13.548287584626221,6.388286418024357,14.101997274098025,0,1,0,1.0
