cbg,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store,treated,time,did
360050004002,7.309270308709349,11.44988122594959,3.8598157513707347,7.064727419528454,1.1945869496016455,14.872644394233632,0,0,0
360050016002,1.5309993929507657,11.163516210205131,10.805507443447809,4.7715309450302525,7.7275240415823205,14.693177174247815,0,0,0
360050025003,3.0693757511764534,4.825888022779093,2.768115738273551,10.75549859901237,1.5992491164802223,6.623342321900854,0,0,0
360050035003,1.334014635024836,3.0728079279802607,8.54718350187712,5.467969850352929,10.659783069308354,13.35918006344537,0,0,0
360050039001,2.2398038964261784,4.406292076540184,5.66951433372013,8.691179292444545,10.490632303192145,10.52387634900458,0,0,0
360050039004,2.5951291176535465,6.074162448284142,1.1051436416882456,4.5979626554375805,13.73663915345969,5.1997510994030325,0,0,0
360050039005,9.693943951410267,10.277675284538269,3.357287126010882,4.155816711237636,11.302353228189595,14.640369462864243,0,0,0
360050041001,5.912382629810594,12.969995629410827,8.078190280057006,6.769401334422928,7.065687618494851,12.21215041208282,0,0,0
360050041002,3.2195931856399014,4.759438774921294,3.2284694413545614,1.7112324234694043,5.823401857644228,13.819089311672561,0,0,0
360050043001,4.80574172224995,7.282506572706621,3.610418486457068,1.0613602232382005,4.00333739727445,12.385688084677444,0,0,0
360050044002,1.5159390058709286,4.230919332872833,2.318349511590899,2.1307265176438914,5.054095915094796,10.193461371199906,0,0,0
360050048002,4.816362209284117,7.904028005317443,2.9996312452461584,7.227787308976746,5.211266674259426,8.681595591371622,0,0,0
360050050011,3.9489796593207167,4.96998567670213,4.423966013028798,7.429625251076512,12.805120725582668,9.40908994159341,0,0,0
360050050012,1.5284530071641775,7.091004985488016,1.0599221537536838,2.7739939047704896,4.480518063973476,6.629173979095577,0,0,0
360050050021,5.361826173838026,5.189534427151537,1.257305927475478,3.276166858086082,4.465320386780537,8.5103529959589,0,0,0
360050050023,3.5029362111892883,9.332257337363933,2.1396387372028367,1.2901252487879271,8.760462479331405,6.477901681401113,0,0,0
360050052002,2.502309256301377,3.6710465660207134,2.098117063758835,2.5992001822294775,6.4158396443355565,5.712112658974441,0,0,0
360050054003,1.9919728175455709,3.1375549579776094,1.1700814064058953,6.356836045543966,6.863341563527883,14.344084652217743,0,0,0
360050062004,3.5141719265189337,14.721861914805336,1.3319615402842189,13.628667737794256,8.203511847851992,10.837346640197113,0,0,0
360050065003,1.9137340958293205,4.77401328177271,2.979603685811437,1.4851013063010132,11.874467956792746,14.981248917951861,0,0,0
360050067001,1.1141821946102672,11.603758321932201,3.066631338748264,8.783471939630454,10.26285691883899,8.756127908731365,0,0,0
360050067002,2.00191252383608,11.715383004199786,4.61117563940894,2.5168197537808585,6.8909623581354476,11.145312034492248,0,0,0
360050067006,1.1569588613809634,14.281500888874156,2.2536731459449753,1.5719293919767363,12.930082347056949,9.766091601059838,0,0,0
360050068002,2.8093206309847876,9.629892383116005,2.046707380629279,1.850586050439743,11.647203899647629,11.013591252744986,0,0,0
360050073002,5.908941919975072,7.2374874243931355,5.160218323908618,1.4112584170009335,7.565014045426573,12.25692777806045,0,0,0
360050076001,4.382574949117416,10.337983359860925,2.049227828358168,2.63329917469553,9.317690009110057,14.493310670174708,0,0,0
360050078003,2.108853601466146,1.2721297375874236,3.4220296505015106,5.221873410246244,9.687336901190708,13.485846428620848,0,0,0
360050083001,1.60400157196373,10.63776818020233,2.571758812912809,1.462222968783509,11.42037317732988,14.888588515016473,0,0,0
360050085001,1.5556380326159207,3.894205917421303,3.9319855919827944,2.2320023209591255,9.51052668027684,14.707641039863546,0,0,0
360050085004,1.2961773299810728,3.9631080020037146,5.03311515809318,1.8646462605749967,9.938639533555717,11.220484947477402,0,0,0
360050087003,2.255050462619227,5.863853531815742,3.934848395035065,1.0040265638008865,13.088988150738102,10.784370570964958,0,0,0
360050089002,1.3067307274719155,2.609969295169673,4.124630435476979,2.4367342994531285,2.9008584077252237,6.79058203878634,0,0,0
360050098001,1.0565190919727063,2.184870607962362,7.6061390361520385,13.434141416244266,8.479540478728191,12.428274725159907,0,0,0
360050098003,1.2216896430501265,2.187075500117455,1.403982357448477,7.759370915478681,12.257775169838743,14.17299554922323,0,0,0
360050121021,1.1283136042554176,6.378521851926315,1.950878322834079,1.2319856618096807,10.73567715862165,4.657516030003059,0,0,0
360050123003,1.5440800995306883,2.843139230388635,5.0535241563984385,8.701388505666392,9.29456913109557,9.14083808632176,0,0,0
360050127011,10.248691957323011,5.858770958868486,5.841152732915614,3.3980606742849133,6.722373496777463,14.75263023374665,0,0,0
360050133003,4.183872419069928,8.645772722253323,4.647516976193598,1.820593890620117,10.121066790599606,14.543402173620954,0,0,0
360050135002,12.07534730648278,7.833506280086613,1.6476668864600992,2.3083640541285977,4.237728220837463,12.27233857914375,0,0,0
360050144001,1.2994458079399318,4.354025996077096,2.881407637826294,6.15526874474479,6.571606142306482,3.8911392229753297,0,0,0
360050144006,2.1050495718279687,2.413330115352302,6.342191459447313,12.518561208951436,14.246811450596184,10.63691524979199,0,0,0
360050145002,1.986070942796932,6.13854359485121,2.206267798247353,1.0921234983993529,8.436288423717608,13.061910329812939,0,0,0
360050147024,2.5060356449671453,2.8635627923650393,1.1933087505580198,10.814852149411822,1.9835768526248785,5.697244977343949,0,0,0
360050157001,1.870908977749794,2.3155908034422845,1.0182779628470362,14.574886443551591,12.321770363190133,11.371960086534429,0,0,0
360050157003,3.1592236291829536,4.095693833867044,3.2151820645196283,1.350740879826681,9.297691902126,7.538107324227134,0,0,0
360050159001,1.2721049476480548,1.722553225202482,5.4311867511789345,3.6620620611578074,9.122726790523707,9.502513643240952,0,0,0
360050159002,1.1147826649198174,2.3470171673010145,5.050387861428437,2.0785665085686786,9.17147399366133,11.055620170271887,0,0,0
360050161004,8.254555273108533,2.674125487573577,3.508469440866946,9.362264428942789,11.51747537498105,13.148111885834458,0,0,0
360050175002,9.212299022012367,10.43231644158676,1.0282538614113081,3.193694687402884,2.867383632623252,7.219378216952817,0,0,0
360050179023,1.3220561357655534,2.1993899364553613,4.486612572138374,6.4862259355354075,13.318153558385387,14.26174236787756,0,0,0
360050181023,2.547494627591755,10.013337974160056,8.440720204047487,11.217917232732573,13.406261550992301,5.314064944126542,0,0,0
360050197002,1.029866320957234,9.06329974279347,1.4813308750346812,10.322141590866732,7.8227657945010485,9.686302391102851,0,0,0
360050197003,1.6799444320372234,13.373708255021436,5.243232787243366,11.915762387807336,7.898239673390013,14.896858215404098,0,0,0
360050199002,1.452213181681703,13.69237958174467,1.3051039783945428,11.916595686918374,2.9125431047528085,11.558103383808026,0,0,0
360050199004,1.5419029695791124,1.6463890977768063,6.453050831963742,9.727694340444556,10.757976096995597,14.727947888465287,0,0,0
360050201003,8.847206350893899,8.907987910981724,1.1415953480647936,2.100129288851921,12.436857076475642,12.612708100492284,0,0,0
360050205021,5.374736558986715,4.476429708384557,1.854097136405556,1.0797171026637815,6.458105019039329,11.825663727890484,0,0,0
360050213011,12.875652388588414,3.2941112094772786,1.4097944054369784,2.0598425903875253,7.58516843195518,9.697978913188749,0,0,0
360050215011,7.777289666911919,1.1007690476173515,1.0409207313601299,6.4168324592385995,6.0091254725296634,14.02037564363619,0,0,0
360050215022,13.016262911328516,8.236073643826009,2.3306801393578787,2.7211201330638044,8.014674798664132,14.831387442092755,0,0,0
360050215025,14.381194630740854,6.7075723746484455,1.9050790045548744,6.3033176320778725,14.110524498242926,9.825847463898524,0,0,0
360050218004,1.1054806592935882,13.177931920613714,1.7771816854356786,11.711804581323024,11.704313777785263,7.60615687159223,0,0,0
360050219001,8.529196614721709,11.23989803181357,1.3554582787910254,2.554413768372221,10.360747121984579,9.41562849572694,0,0,0
360050221011,2.5258237245157917,4.671250696341765,1.1690421049386366,4.921777116926375,1.6270821265537199,8.690403906488385,0,0,0
360050221012,9.764755540685034,10.198856841492663,5.5607878960414965,12.271888094856115,9.36411391482236,13.93692639385286,0,0,0
360050221021,3.734930293823597,5.325182165142358,2.1246445236002494,3.4020197529720284,8.810070929455925,10.189324607581256,0,0,0
360050221022,4.041731422602209,10.40691441597574,1.5576100278677711,3.300611376625848,9.063783117169015,8.156033676214987,0,0,0
360050223001,3.787247325460634,3.772270897930952,1.3969471475289588,13.758046789562034,1.0591311368141234,8.723111937744127,0,0,0
360050223002,4.111730915269199,2.198031343575394,1.804777833924335,7.0263915137237944,2.308664546212865,13.547305272320282,0,0,0
360050225001,1.0090363083264218,2.2820254466266,3.815150414457824,14.569799154777794,12.112229985847788,13.435253153840616,0,0,0
360050225003,1.4157459600621705,4.721536477848385,5.588294786696016,8.094500433107187,2.6280179378295037,12.066832350006727,0,0,0
360050225005,2.5152717626879393,1.692163215955988,4.4506050041336325,3.0574928711114486,3.1486611107762714,14.004790202489573,0,0,0
360050229013,4.81749439178078,8.279208324924664,1.0140467684913441,6.2474763748195326,4.715416817147071,13.749835349613942,0,0,0
360050229021,1.0870326019922514,14.70679302251433,1.9532072597461436,10.248519243691312,4.519880577025237,8.629217377452902,0,0,0
360050233011,3.8861801604319126,5.893551876679824,7.148999801993385,3.1748020739274345,12.530776005490095,10.031491695900673,0,0,0
360050233021,10.777275637350328,5.78722395787142,1.7053877882685828,5.486047493600844,4.075617466908762,14.759926488016289,0,0,0
360050233022,5.579402690015672,13.494443787701925,1.433316911950353,4.4116553109677055,1.371285004383921,10.518526621743256,0,0,0
360050235011,3.9606073490486007,1.8452312063284677,2.2533665915489434,4.874245302300923,6.520679986864754,14.931937078085134,0,0,0
360050235012,5.829792175520196,12.161259294990211,4.324301499280381,5.964952297475691,9.969253860909305,9.83063312406469,0,0,0
360050235013,2.851295561002134,7.653594090667234,2.3317154212451925,3.6933130043882816,8.830891522354761,12.749726813446815,0,0,0
360050235021,11.508741108711138,9.804504827464472,6.9556514517619945,4.788788851352891,4.4894157865841535,13.01352967572766,0,0,0
360050235022,11.480420589369942,9.885372387259526,4.691545907241586,8.18552636567261,2.312594728485717,13.126734341669755,0,0,0
360050235024,1.9933589630546633,12.817871586607668,4.739613556605598,3.5333854251811685,9.23124062596916,9.540786178085767,0,0,0
360050237021,3.1859700723749933,9.232721270543374,2.70167192207377,5.851992806595895,10.18780929495121,6.229688778173006,0,0,0
360050237031,2.135291599005841,8.64117398507118,3.0214233244113684,11.827488294772914,4.73708770392248,9.05525178640323,0,0,0
360050237033,2.1167422269620504,12.114532853704619,6.594035192432271,9.405981414575907,9.910651099097436,11.719487236146062,0,0,0
360050237041,7.924330183612627,11.971817352932588,3.1077087599483013,6.5150255166512725,7.729807503667855,13.14614056401507,0,0,0
360050239001,3.123236005868253,6.187220519190908,8.982150333302153,4.728113143515085,4.274352605219907,14.900408325004094,0,0,0
360050239003,7.5254636269451645,11.773801191339185,3.534778979424693,6.069687651171183,6.190343568474022,12.424247191200235,0,0,0
360050239004,7.828357744802242,6.6662854039623145,5.644563199813463,6.181602728247147,14.870307700405688,12.162860388251664,0,0,0
