cbg,H_Area_of_store,R_Percentage_of_Visits_by_brand,J_POI_count_where_store_is,K_POI_diversity_where_store_is,L_Demographic_similarity,G_Distance_between_cbg_and_store,treated,time,did
360470092001,9.178785175679657,9.779599733353482,3.8427258770434483,6.418609280076556,5.9583344430472245,5.963895207794864,0,0,0
360470094002,6.2653911853099595,1.883461956720641,5.011694243874354,3.1563651911805906,6.609942353574125,8.24918971689842,0,0,0
360470098003,10.763571924989865,11.319460763067578,5.702365602742263,8.949105166158255,5.493481109803743,11.327080696515358,0,0,0
360470100001,11.900391488617704,12.59313217184934,12.058614218815073,8.512483899261042,7.282852818071873,11.416343942298893,0,0,0
360470100002,1.6365447897647716,6.020322229370102,3.213232775170656,2.9848749173066054,13.862442124638592,5.49769210161357,0,0,0
360470102001,1.1682663514499652,3.0234974967797212,4.422735521917115,3.814207925025565,3.4423760578908187,11.026090761696542,0,0,0
360470102002,12.887218052312278,7.250019012375972,10.840298802537404,2.56044337529152,10.48638849291043,12.148621416724772,0,0,0
360470104001,8.810947986172147,8.233287232662637,3.3432471597204763,12.884460089520363,4.331465558643061,5.6774399194251055,0,0,0
360470104002,6.189927350172649,12.553783597386168,5.566238831457728,9.092578241050127,5.964669038196401,6.35691133212903,0,0,0
360470104003,6.319514970017737,2.178011057524703,1.632385566316618,11.695486380315717,4.0441595319025705,14.249328597971598,0,0,0
360470106001,13.50963907197048,3.46897887233858,3.5891457692550848,8.027739162544734,8.519200954413265,12.374509311534899,0,0,0
360470106002,2.2406272226716526,1.9206067838208,5.88872030314554,5.3834806986450685,11.245446615110662,10.756968065196997,0,0,0
360470106003,2.1330953219527227,3.726242435948518,3.9703805381710033,10.728730515680581,1.299036496196372,9.428399332282552,0,0,0
360470108001,1.3808492099807772,2.917009065379574,3.9729110439130784,8.030391430976247,5.369106762453473,9.600644878008389,0,0,0
360470108002,6.968692917409179,3.2301727099772855,2.645744952111106,7.610822871229615,7.637054751331597,10.016461624532383,0,0,0
360470108003,1.2751154920337893,1.222127552646386,3.8933379210961796,9.211537900269946,9.67262168876832,10.36978697957281,0,0,0
360470114003,4.981132116239876,2.862884727229522,7.466210961774766,5.81645676047745,8.618131413873474,12.05075606540872,0,0,0
360470116002,11.849741813862595,7.854335217493108,12.47900901482063,6.893132198868455,6.576263860732531,14.54188387858524,0,0,0
360470116003,1.1832674995066572,3.3501438005080537,4.927398753918117,5.402646239697082,5.956413636372791,10.350472212987667,0,0,0
360470118001,2.8215193669909695,11.3994881385742,4.21329221997779,8.047143261844962,8.308890967991305,14.448452443762072,0,0,0
360470118002,5.035676125022939,4.651547040352996,7.3842441205931,11.157900264062961,2.6736938325584676,9.735262018756458,0,0,0
360470120001,1.669835431388099,5.303016291297659,2.8162883135680143,3.7907195229653876,1.5425755917739075,12.4633014027719,0,0,0
360470122003,10.492616132779839,10.119771079976395,12.195588092374557,3.2774711908898264,9.622164785840763,14.463980223332657,0,0,0
360470128011,2.0288806658764917,3.2587817098219642,3.394748911305829,2.1996593132931466,13.780652987440403,9.587923088261423,0,0,0
360470130001,1.3830140759457656,4.492544129758174,1.0419834469013254,7.542646882323718,8.424116553328766,7.537050943156863,0,0,0
360470132002,1.3095549507956865,5.316978279719557,8.452676623508017,4.46611233464521,7.8075816335517905,12.448303146149296,0,0,0
360470182001,3.7443081092206754,6.896554223547146,3.9871609155942878,1.6887039877132466,10.983659189369934,13.411390641927264,0,0,0
360470184001,4.827668553890668,4.727171135711402,3.727335244573645,12.088210356860321,3.510137030592446,12.835476441396938,0,0,0
360470186001,6.723748108017499,5.761157860266906,7.388818763034372,2.4076717339508775,9.319058053642308,13.548906318684935,0,0,0
360470192002,1.6990806107095824,2.111174674228515,3.819416401919341,1.7610027024871864,7.029563927079449,7.440153239395365,0,0,0
360470194001,3.779344927945232,2.3502412367189116,2.5380193241191273,3.1233284659143195,13.23574020519441,14.17666091920601,0,0,0
360470198001,7.47974387832306,12.22694089187209,1.4833769818688403,3.2633794171172203,2.5565043047985734,13.356379438445394,0,0,0
360470208001,1.275142282331401,10.86416400156121,4.374943331228218,1.2204724248189172,13.330067672661645,13.898917755020385,0,0,0
360470208002,8.495348638003586,2.3495026534390995,1.8334672116583115,2.743887398412024,10.466964424225212,12.887080407691442,0,0,0
360470210002,3.293648199042088,2.6404361740473874,5.240704126249291,1.1826903520385612,9.127276609536668,12.966287752318586,0,0,0
360470212001,1.4941483069985182,2.235634682283097,4.471897414021655,3.2418861206406735,5.8174204618872976,10.408460661438037,0,0,0
360470214002,1.7942800860169008,5.543980783551224,7.363004629440268,1.1332640797309068,12.969129081423645,13.41796564998678,0,0,0
360470246002,3.9801676496556513,3.229752916149847,2.55614337565655,2.345743638816935,7.305607721424245,8.579685483164848,0,0,0
360470250002,4.224395039697916,11.032073141252424,3.4919655844572666,5.873220834120076,8.55017200131272,12.36051759374837,0,0,0
360470254001,3.773519886679342,9.232735697188396,4.930876135575316,1.4855515707527154,4.789130074887993,14.96316376497859,0,0,0
360470256001,6.206447756479687,8.976906807609849,7.44109900790696,14.778754449055388,6.786532214550298,14.112244464013642,0,0,0
360470256002,7.2600779402334705,6.332959382224361,2.099343229983758,5.635311156847596,1.8093719068673384,10.317772676008941,0,0,0
